,index,aircraft_number,distances,doc,demand,active_arcs,distances01,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,0,7,354,2784.0,451.0,1,354,0.4755555555555555,40.0,737.8080261942421,177.29609956386798,7.866879357229357,2.0842034638255424,3.328888888888889,5164.656183359694,0.7944691128711474,2478,280.0,19488.0,1241.0726969470759
1,1,10,242,2115.0,294.0,1,242,0.4755555555555555,40.0,557.1708258687963,154.61853984737786,8.740803820177785,2.302358784581803,4.755555555555555,5571.708258687963,1.0274154414638195,2420,400.0,21150.0,1546.1853984737786
2,2,10,198,1857.0,252.0,1,198,0.4755555555555555,40.0,486.89331374729284,145.70063718347217,9.382652115865968,2.4590571401378427,4.755555555555555,4868.933137472928,0.9619455068606576,1980,400.0,18570.0,1457.0063718347217
3,3,0,768,5356.0,313.0,0,768,0.46929292929292926,40.0,1390.367149784473,262.8053199186989,6.974246452488189,1.8103738929485325,0.0,0.0,0.0,0,0.0,0.0,0.0
4,4,10,591,4253.0,298.0,1,591,0.46303030303030296,40.0,1087.413861019516,227.90437200379202,7.197357786628351,1.839955771606626,4.63030303030303,10874.13861019516,1.2856172977482552,5910,400.0,42530.0,2279.04372003792
5,5,10,517,3942.0,192.0,1,517,0.4004040404040404,40.0,933.7617433477069,221.532902537688,7.625333283325486,1.8061155577325085,4.004040404040404,9337.61743347707,1.3097052162260103,5170,400.0,39420.0,2215.32902537688
6,6,10,587,4516.0,221.0,1,587,0.3816161616161616,40.0,1057.9829880678906,241.4300988103637,7.694095940772376,1.8023560273728971,3.8161616161616156,10579.829880678906,1.312437127373288,5870,400.0,45160.0,2414.300988103637
7,7,10,335,2678.0,324.0,1,335,0.46929292929292926,40.0,706.3726119259956,173.768010221475,7.994183270080854,2.108574960973121,4.692929292929293,7063.726119259955,1.1218377391608274,3350,400.0,26780.0,1737.6801022147501
8,8,10,154,1598.0,188.0,1,154,0.46303030303030296,40.0,428.51008549966855,136.20248023594203,10.381525053099805,2.7825330227251204,4.63030303030303,4285.1008549966855,0.8501171226900821,1540,400.0,15980.0,1362.0248023594204
9,9,10,660,5076.0,200.0,1,660,0.37535353535353533,40.0,1183.7878881373304,260.38891707556,7.691317251622704,1.7936180123292884,3.7535353535353533,11837.878881373304,1.3188309611126612,6600,400.0,50760.0,2603.8891707556004
10,10,0,1105,10000000000.0,105.0,0,1105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
11,11,1,830,6320.0,152.0,1,830,0.37535353535353533,40.0,1458.5616293320106,302.97103423326786,7.61541830515983,1.7573031678698923,0.37535353535353533,1458.5616293320106,0.13460847338803364,830,40.0,6320.0,302.97103423326786
12,12,9,1006,7567.0,256.0,1,1006,0.3816161616161616,40.0,1758.3055282831958,343.82843654769056,7.5225912789462255,1.7478186165836938,3.434545454545454,15824.749754548762,1.2180503458210825,9054,360.0,68103.0,3094.455928929215
13,13,3,855,6457.0,125.0,1,855,0.3816161616161616,40.0,1506.8035480585236,306.68601217532006,7.552965765191554,1.7623433310626007,1.1448484848484848,4520.41064417557,0.4026705112521332,2565,120.0,19371.0,920.0580365259602
14,14,10,187,1793.0,342.0,1,354,0.46929292929292926,40.0,733.7644562647035,177.67535165443675,7.885362010476087,2.0727809499002925,4.692929292929293,7337.644562647036,1.1412102987452695,1870,400.0,17930.0,1776.7535165443676
15,15,10,200,1873.0,469.0,1,187,0.46303030303030296,40.0,479.2197346747062,143.19214634279743,9.590330739311497,2.5626723779396055,4.63030303030303,4792.1973467470625,0.9230516500790736,2000,400.0,18730.0,1431.9214634279742
16,16,10,673,5135.0,398.0,1,200,0.46303030303030296,40.0,496.9823970941509,145.69328734594674,9.367431601059014,2.484911985470754,4.63030303030303,4969.823970941508,0.9519367208577765,6730,400.0,51350.0,1456.9328734594674
17,17,10,620,4788.0,215.0,1,673,0.3816161616161616,40.0,1194.0431884279246,262.7955906125421,7.630433436239941,1.774209789640304,3.8161616161616156,11940.431884279245,1.333257758401155,6200,400.0,47880.0,2627.9559061254213
18,18,10,780,5956.0,254.0,1,620,0.37535353535353533,40.0,1121.2295121823204,250.47151207656083,7.723092239794905,1.8084346970682588,3.7535353535353533,11212.295121823205,1.308025648315645,7800,400.0,59560.0,2504.7151207656084
