,pax_number
0,0.0
1,0.0
2,450.0
3,0.0
4,450.0
5,450.0
6,0.0
7,0.0
8,0.0
9,45.0
10,450.0
11,444.0
12,405.0
13,439.00000000000006
14,0.0
15,0.0
16,0.0
17,450.0
18,0.0
19,450.0
20,0.0
21,0.0
22,0.0
23,180.0
24,405.0
25,0.0
26,450.0
27,211.0
28,450.0
29,45.0
30,450.0
31,0.0
32,0.0
33,270.0
34,450.0
35,0.0
36,396.0
37,450.0
38,450.0
39,450.0
40,450.0
41,0.0
42,0.0
43,0.0
44,0.0
45,45.0
46,0.0
47,0.0
48,0.0
49,428.0
50,360.0
51,450.0
52,450.0
53,0.0
54,0.0
55,35.0
56,450.0
57,0.0
58,450.0
59,450.0
60,0.0
61,449.0
62,360.0
63,0.0
64,0.0
65,450.0
66,450.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,450.0
73,450.0
74,315.0
75,0.0
76,0.0
77,0.0
78,313.0
79,0.0
80,0.0
81,0.0
82,450.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,360.0
89,360.0
90,0.0
91,429.0
92,0.0
93,0.0
94,450.0
95,405.0
96,0.0
97,0.0
98,0.0
99,450.0
100,0.0
101,432.0
102,0.0
103,0.0
104,443.0
105,0.0
106,0.0
107,0.0
108,0.0
109,405.0
110,0.0
111,450.0
112,0.0
113,0.0
114,0.0
115,180.0
116,360.0
117,0.0
118,0.0
119,0.0
120,0.0
121,405.0
122,450.0
123,315.0
124,450.0
125,0.0
126,448.0
127,0.0
128,0.0
129,450.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,90.0
138,0.0
139,0.0
140,450.0
141,450.0
142,450.0
143,450.0
144,0.0
145,0.0
146,0.0
147,405.0
148,450.0
149,180.0
150,450.0
151,0.0
152,450.0
153,0.0
154,0.0
155,450.0
156,450.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,90.0
164,0.0
165,0.0
166,0.0
167,405.0
168,0.0
169,0.0
170,0.0
171,450.0
172,441.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,360.0
179,450.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,444.0
187,135.0
188,45.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,450.0
195,360.0
196,0.0
197,0.0
198,0.0
199,0.0
200,450.0
201,443.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,45.0
210,0.0
211,435.0
212,315.0
213,450.0
214,315.0
215,0.0
216,0.0
217,129.0
218,0.0
219,405.0
220,405.0
221,0.0
222,0.0
223,450.0
224,0.0
