,pax_number
0,0.0
1,0.0
2,600.0
3,0.0
4,540.0
5,585.0
6,0.0
7,0.0
8,0.0
9,0.0
10,600.0
11,600.0
12,176.0
13,480.0
14,0.0
15,0.0
16,0.0
17,58.0
18,48.0
19,0.0
20,180.0
21,0.0
22,0.0
23,300.0
24,600.0
25,0.0
26,60.0
27,0.0
28,600.0
29,60.0
30,600.0
31,0.0
32,0.0
33,600.0
34,0.0
35,0.0
36,300.0
37,120.0
38,600.0
39,600.0
40,600.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,594.0
50,60.0
51,0.0
52,480.0
53,0.0
54,0.0
55,0.0
56,596.0
57,0.0
58,578.0
59,300.0
60,0.0
61,300.0
62,0.0
63,0.0
64,0.0
65,600.0
66,540.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,600.0
73,600.0
74,600.0
75,0.0
76,50.0
77,0.0
78,120.0
79,0.0
80,0.0
81,0.0
82,600.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,540.0
90,0.0
91,600.0
92,0.0
93,0.0
94,152.0
95,600.0
96,0.0
97,0.0
98,0.0
99,593.0
100,0.0
101,600.0
102,0.0
103,0.0
104,540.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,60.0
111,600.0
112,0.0
113,0.0
114,0.0
115,0.0
116,400.0
117,55.0
118,60.0
119,0.0
120,0.0
121,300.0
122,600.0
123,467.0
124,600.0
125,0.0
126,600.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,600.0
142,600.0
143,480.0
144,0.0
145,0.0
146,0.0
147,600.0
148,600.0
149,0.0
150,600.0
151,0.0
152,120.0
153,0.0
154,0.0
155,600.0
156,459.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,573.0
168,0.0
169,0.0
170,0.0
171,120.0
172,420.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,300.0
179,600.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,600.0
187,51.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,60.0
195,0.0
196,38.0
197,0.0
198,0.0
199,0.0
200,589.0
201,540.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,600.0
210,0.0
211,600.0
212,164.0
213,540.0
214,0.0
215,0.0
216,0.0
217,420.0
218,0.0
219,345.0
220,595.0
221,0.0
222,0.0
223,600.0
224,0.0
