,pax_number
0,0.0
1,370.0
2,380.0
3,0.0
4,380.0
5,380.0
6,0.0
7,0.0
8,0.0
9,304.0
10,380.0
11,380.0
12,380.0
13,380.0
14,76.0
15,0.0
16,0.0
17,380.0
18,0.0
19,366.0
20,0.0
21,0.0
22,0.0
23,380.0
24,335.0
25,76.0
26,380.0
27,228.0
28,380.0
29,303.0
30,380.0
31,0.0
32,0.0
33,371.0
34,380.0
35,0.0
36,380.0
37,380.0
38,380.0
39,380.0
40,380.0
41,37.0
42,38.0
43,152.0
44,0.0
45,30.0
46,0.0
47,0.0
48,0.0
49,380.0
50,380.0
51,380.0
52,380.0
53,0.0
54,0.0
55,304.0
56,380.0
57,0.0
58,380.0
59,380.0
60,228.0
61,380.0
62,380.0
63,0.0
64,0.0
65,375.0
66,380.0
67,0.0
68,0.0
69,0.0
70,0.0
71,342.0
72,380.0
73,380.0
74,380.0
75,0.0
76,0.0
77,0.0
78,114.0
79,0.0
80,0.0
81,152.0
82,380.0
83,0.0
84,0.0
85,0.0
86,0.0
87,38.0
88,228.0
89,380.0
90,0.0
91,377.0
92,38.0
93,0.0
94,380.0
95,380.0
96,0.0
97,0.0
98,0.0
99,380.0
100,0.0
101,380.0
102,0.0
103,0.0
104,342.0
105,0.0
106,114.0
107,0.0
108,0.0
109,377.0
110,24.0
111,380.0
112,0.0
113,0.0
114,0.0
115,304.0
116,380.0
117,114.0
118,63.0
119,38.0
120,0.0
121,380.0
122,380.0
123,380.0
124,380.0
125,110.0
126,380.0
127,0.0
128,0.0
129,380.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,38.0
138,0.0
139,107.0
140,380.0
141,380.0
142,380.0
143,380.0
144,0.0
145,380.0
146,0.0
147,378.0
148,380.0
149,263.0
150,380.0
151,0.0
152,380.0
153,190.0
154,0.0
155,380.0
156,380.0
157,0.0
158,114.0
159,0.0
160,0.0
161,0.0
162,0.0
163,34.0
164,0.0
165,0.0
166,0.0
167,380.0
168,0.0
169,0.0
170,0.0
171,380.0
172,380.0
173,76.0
174,0.0
175,76.0
176,0.0
177,0.0
178,304.0
179,380.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,380.0
187,325.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,376.0
195,369.0
196,0.0
197,0.0
198,0.0
199,0.0
200,380.0
201,342.0
202,0.0
203,0.0
204,0.0
205,109.0
206,32.0
207,0.0
208,0.0
209,228.0
210,0.0
211,380.0
212,370.0
213,380.0
214,266.0
215,0.0
216,0.0
217,38.0
218,0.0
219,380.0
220,368.0
221,0.0
222,0.0
223,377.0
224,0.0
