,pax_number
0,0.0
1,0.0
2,700.0
3,0.0
4,630.0
5,700.0
6,0.0
7,0.0
8,0.0
9,62.0
10,140.0
11,700.0
12,560.0
13,700.0
14,0.0
15,0.0
16,0.0
17,62.0
18,0.0
19,280.0
20,58.00000000000001
21,0.0
22,70.0
23,0.0
24,630.0
25,0.0
26,70.0
27,70.0
28,630.0
29,0.0
30,490.0
31,0.0
32,0.0
33,560.0
34,0.0
35,0.0
36,70.0
37,0.0
38,700.0
39,700.0
40,630.0
41,62.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,674.0
50,280.0
51,0.0
52,700.0
53,0.0
54,0.0
55,0.0
56,700.0
57,0.0
58,605.0
59,0.0
60,70.0
61,0.0
62,140.0
63,0.0
64,0.0
65,210.0
66,700.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,668.0
73,490.0
74,490.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,700.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,268.0
90,0.0
91,700.0
92,0.0
93,0.0
94,52.0
95,490.0
96,0.0
97,0.0
98,0.0
99,625.0
100,0.0
101,700.0
102,0.0
103,0.0
104,630.0
105,0.0
106,0.0
107,0.0
108,0.0
109,558.0
110,0.0
111,560.0
112,0.0
113,0.0
114,0.0
115,0.0
116,265.0
117,0.0
118,0.0
119,0.0
120,0.0
121,560.0
122,560.0
123,140.0
124,350.0
125,0.0
126,694.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,70.0
140,0.0
141,700.0
142,700.0
143,534.0
144,0.0
145,70.0
146,0.0
147,615.0
148,700.0
149,140.0
150,700.0
151,0.0
152,0.0
153,0.0
154,0.0
155,630.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,700.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,61.0
178,54.0
179,700.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,674.0
187,0.0
188,0.0
189,54.0
190,0.0
191,0.0
192,0.0
193,0.0
194,700.0
195,0.0
196,0.0
197,0.0
198,70.0
199,0.0
200,675.0
201,533.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,140.0
210,0.0
211,700.0
212,0.0
213,560.0
214,70.0
215,0.0
216,0.0
217,210.0
218,0.0
219,459.0
220,615.0
221,0.0
222,0.0
223,700.0
224,0.0
