,index,aircraft_number,distances,doc,demand,active_arcs,distances01,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,0,0.0,354,2597,451.0,0,354,0.6634343434343433,48.0,682.4475378006711,165.51795345581365,7.337805746619907,1.9278179033917262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.0,242,2073,294.0,1,242,0.607070707070707,48.0,510.13507336188115,150.21948571484887,8.566470170709858,2.107996170916864,0.607070707070707,510.13507336188115,0.10821754208762359,242.0,48.0,2073.0,150.21948571484887
2,2,0.0,198,1899,252.0,0,198,0.5319191919191919,48.0,450.88817299760683,146.68691524691116,9.593960961346745,2.277212994937408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,768,4846,313.0,0,768,0.6696969696969697,48.0,1357.6590370636493,230.2944917580461,6.31075342124189,1.76778520450996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,591,3878,298.0,0,591,0.6696969696969697,48.0,1064.6893457334397,202.64127351300417,6.561908522389793,1.8015048151158033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,517,3451,192.0,0,517,0.6759595959595959,48.0,937.3373176213263,190.2002876897024,6.675056456321738,1.8130315621302249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,587,3856,221.0,0,587,0.6696969696969697,48.0,1058.108725280923,202.01625797266064,6.569608075160586,1.8025702304615383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,2.0,335,2509,324.0,1,335,0.6759595959595959,48.0,655.2472266610469,162.27821677827401,7.490880032208961,1.9559618706299906,1.3519191919191917,1310.4944533220937,0.23325829380638166,670.0,96.0,5018.0,324.55643355654803
8,8,0.0,154,1646,188.0,0,154,0.4755555555555555,48.0,347.5853637780334,140.02050170786177,10.68993974344589,2.2570478167404766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,660,4221,200.0,0,660,0.6822222222222221,48.0,1188.8478011377622,211.4456006218917,6.395839690047808,1.8012845471784276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,1105,6639,105.0,0,1105,0.6884848484848485,48.0,1959.353182584627,278.3091438578508,6.008536021508322,1.7731703009815627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.0,830,5147,152.0,0,830,0.6822222222222221,48.0,1471.1550567968602,237.67777674503526,6.2014418055920295,1.7724759720444099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.0,1006,6092,256.0,0,1006,0.6884848484848485,48.0,1779.5525806682683,263.16341938087726,6.05608302554497,1.7689389469863501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.0,855,5264,125.0,0,855,0.6884848484848485,48.0,1519.407297247607,240.8334231948356,6.156736383620791,1.7770845581843355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.0,187,1844,342.0,0,354,0.6759595959595959,48.0,691.4102189770294,165.08420564020213,7.378242685258354,1.9531362117995181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.0,200,1926,469.0,0,187,0.5193939393939393,48.0,430.87896515072975,144.69380329459855,9.864090113154244,2.3041655890413355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,673,4323,398.0,0,200,0.5381818181818181,48.0,451.7718810455276,145.79888056964714,9.632208811472516,2.258859405227638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,620,4011,215.0,0,673,0.6696969696969697,48.0,1202.182156647191,215.28086341978505,6.424524270086674,1.786303353116183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,780,4877,254.0,0,620,0.6822222222222221,48.0,1124.1843055797335,205.50922744481707,6.46994108902134,1.8132004928705379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,3.0,243,2097,505.0,1,780,0.6822222222222221,48.0,1388.4263226348853,230.09376148485305,6.252684913288546,1.7800337469678016,2.046666666666666,4165.278967904656,0.3844682687651396,729.0,144.0,6291.0,690.2812844545591
20,20,0.0,688,4378,227.0,0,243,0.607070707070707,48.0,524.867503131972,150.37672544980373,8.631768144750787,2.1599485725595553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,426,2970,322.0,0,688,0.6822222222222221,48.0,1235.8339850009381,215.977340622664,6.363809475260044,1.7962703270362472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,790,4932,244.0,0,426,0.6759595959595959,48.0,790.0437543846765,176.23340669312992,6.972495135751564,1.8545628037198978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,1374,100000000000000000000000000000,47.0,0,790,0.6822222222222221,48.0,1405.1708755779791,231.67244283147235,6.244008431558576,1.7786973108582014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
