,index,aircraft_number,distances,doc,demand,active_arcs,distances01,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,0,0,354,4929.0,451.0,0,354,0.8137373737373736,120.0,1483.046547974935,161.76401856488218,13.925762612713195,4.189397028177782,0.0,0.0,0.0,0,0.0,0.0,0.0
1,1,0,242,3856.0,294.0,0,242,0.6822222222222221,120.0,1004.0777992026974,147.91756410307866,15.935714745802926,4.14908181488718,0.0,0.0,0.0,0,0.0,0.0,0.0
2,2,3,198,3450.0,252.0,1,198,0.6321212121212121,120.0,807.442081990117,143.7324615028126,17.426353416896873,4.077990313081399,1.8963636363636363,2422.326245970351,0.15485419922401394,594,360.0,10350.0,431.19738450843784
3,3,0,768,9248.0,313.0,0,768,0.7949494949494949,120.0,3306.6361031838596,214.99611592940235,12.041729940349452,4.305515759353984,0.0,0.0,0.0,0,0.0,0.0,0.0
4,4,0,591,7405.0,298.0,0,591,0.7886868686868687,120.0,2541.447923863423,192.09916720021513,12.530594183827683,4.300250294185149,0.0,0.0,0.0,0,0.0,0.0,0.0
5,5,9,517,6605.0,192.0,1,517,0.801212121212121,120.0,2223.672744592121,181.11383501726462,12.775732278482819,4.301107823195592,7.210909090909089,20013.05470132909,0.4404636784294739,4653,1080.0,59445.0,1630.0245151553816
6,6,0,587,7351.0,221.0,0,587,0.7886868686868687,120.0,2512.4255843791357,191.6151375763553,12.523741164110518,4.280111728073485,0.0,0.0,0.0,0,0.0,0.0,0.0
7,7,10,335,4748.0,324.0,1,335,0.7949494949494949,120.0,1450.0067350509785,157.95680930289137,14.175509183153721,4.32837831358501,7.949494949494948,14500.067350509784,0.4863206483850273,3350,1200.0,47480.0,1579.5680930289136
8,8,9,154,3008.0,188.0,1,154,0.607070707070707,120.0,644.9450186149179,137.05347516960776,19.533841295913284,4.1879546663306355,5.463636363636363,5804.505167534261,0.4523644413721431,1386,1080.0,27072.0,1233.4812765264699
9,9,3,660,8061.0,200.0,1,660,0.8074747474747475,120.0,2835.459015871407,199.72400015225884,12.214816909552804,4.296150024047586,2.4224242424242424,8506.37704761422,0.14699065927417232,1980,360.0,24183.0,599.1720004567765
10,10,0,1105,12981.0,105.0,0,1105,0.7886868686868687,119.0,4871.822151614542,260.227229155082,11.748319527217854,4.408888824990536,0.0,0.0,0.0,0,0.0,0.0,0.0
11,11,0,830,9850.0,152.0,0,830,0.8137373737373736,120.0,3605.6769142601224,221.07959175586785,11.867540088330792,4.344189053325449,0.0,0.0,0.0,0,0.0,0.0,0.0
12,12,0,1006,11728.0,256.0,0,1006,0.8137373737373736,119.0,4398.2979651131745,243.7292083974282,11.658386138999559,4.372065571683076,0.0,0.0,0.0,0,0.0,0.0,0.0
13,13,0,855,10111.0,125.0,0,855,0.8137373737373736,120.0,3713.879205652463,224.29956864825073,11.826121560427806,4.343718369184168,0.0,0.0,0.0,0,0.0,0.0,0.0
14,14,10,187,3359.0,342.0,1,354,0.7949494949494949,120.0,1562.063823771829,160.95965297526266,13.947482722095813,4.4126096716718335,7.949494949494948,15620.638237718289,0.4770373780014914,1870,1200.0,33590.0,1609.5965297526266
15,15,10,200,3371.0,469.0,1,187,0.6258585858585858,120.0,826.2860794839886,140.71352002888582,17.966728186283543,4.418642136278014,6.258585858585858,8262.860794839886,0.47638611206732745,2000,1200.0,33710.0,1407.1352002888582
16,16,0,673,8277.0,398.0,0,200,0.6383838383838383,120.0,870.5715431352226,146.18461195911348,16.857430816703232,4.352857715676112,0.0,0.0,0.0,0,0.0,0.0,0.0
17,17,0,620,7650.0,215.0,0,673,0.7886868686868687,120.0,2902.3331365226145,203.0047291399463,12.300061298442644,4.312530663480854,0.0,0.0,0.0,0,0.0,0.0,0.0
18,18,0,780,9325.0,254.0,0,620,0.8074747474747475,120.0,2666.557431780053,194.5542291521351,12.339943536013353,4.300899083516215,0.0,0.0,0.0,0,0.0,0.0,0.0
19,19,10,243,3896.0,505.0,1,780,0.8074747474747475,120.0,3362.9251859291235,215.30060865842614,11.955907066682027,4.311442546062978,8.074747474747475,33629.25185929124,0.48823096340238353,2430,1200.0,38960.0,2153.0060865842615
20,20,0,688,8358.0,227.0,0,243,0.6822222222222221,120.0,1030.071621271501,148.1154558139706,16.035137281418113,4.238977865314819,0.0,0.0,0.0,0,0.0,0.0,0.0
21,21,0,426,5668.0,322.0,0,688,0.8074747474747475,120.0,2960.2835425852268,203.37043209514331,12.149173564835099,4.302737707245969,0.0,0.0,0.0,0,0.0,0.0,0.0
22,22,0,790,9442.0,244.0,0,426,0.801212121212121,120.0,1839.3139667933606,169.6579353454135,13.307476667816369,4.317638419702725,0.0,0.0,0.0,0,0.0,0.0,0.0
23,23,0,1374,15997.0,47.0,0,790,0.8074747474747475,120.0,3416.6956088962424,216.59673803907216,11.952647145520581,4.324931150501572,0.0,0.0,0.0,0,0.0,0.0,0.0
