,pax_number
0,0.0
1,86.0
2,326.0
3,0.0
4,583.0
5,774.0
6,0.0
7,0.0
8,0.0
9,0.0
10,344.0
11,852.0
12,0.0
13,860.0
14,0.0
15,0.0
16,0.0
17,258.0
18,86.0
19,0.0
20,344.0
21,55.0
22,0.0
23,0.0
24,578.0
25,61.0
26,0.0
27,86.0
28,860.0
29,0.0
30,602.0
31,0.0
32,0.0
33,258.0
34,72.0
35,86.0
36,0.0
37,258.0
38,602.0
39,430.0
40,860.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,860.0
50,86.0
51,0.0
52,860.0
53,0.0
54,0.0
55,0.0
56,854.0
57,0.0
58,860.0
59,86.0
60,0.0
61,0.0
62,86.0
63,0.0
64,0.0
65,516.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,860.0
73,86.0
74,602.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,688.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,428.0
90,0.0
91,774.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,860.0
100,0.0
101,831.0
102,0.0
103,0.0
104,774.0
105,0.0
106,0.0
107,0.0
108,0.0
109,70.0
110,0.0
111,602.0
112,0.0
113,0.0
114,0.0
115,86.0
116,86.0
117,0.0
118,0.0
119,0.0
120,0.0
121,344.0
122,497.0
123,0.0
124,838.0
125,0.0
126,860.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,860.0
142,172.0
143,516.0
144,0.0
145,0.0
146,0.0
147,430.0
148,860.0
149,0.0
150,860.0
151,0.0
152,0.0
153,0.0
154,0.0
155,860.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,860.0
168,0.0
169,0.0
170,0.0
171,0.0
172,49.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,70.0
179,860.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,838.0
187,0.0
188,47.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,852.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,860.0
201,860.0
202,0.0
203,0.0
204,0.0
205,0.0
206,86.0
207,0.0
208,0.0
209,61.0
210,0.0
211,56.00000000000001
212,0.0
213,315.0
214,0.0
215,0.0
216,0.0
217,860.0
218,0.0
219,0.0
220,430.0
221,0.0
222,0.0
223,860.0
224,0.0
