,pax_number
0,0.0
1,0.0
2,544.0
3,0.0
4,544.0
5,680.0
6,0.0
7,0.0
8,45.0
9,108.0
10,544.0
11,680.0
12,68.0
13,612.0
14,0.0
15,0.0
16,0.0
17,612.0
18,0.0
19,272.0
20,68.0
21,0.0
22,0.0
23,476.0
24,0.0
25,68.0
26,68.0
27,68.0
28,662.0
29,0.0
30,451.0
31,0.0
32,0.0
33,544.0
34,0.0
35,0.0
36,0.0
37,0.0
38,680.0
39,677.0
40,680.0
41,62.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,680.0
50,0.0
51,68.0
52,680.0
53,0.0
54,0.0
55,0.0
56,680.0
57,0.0
58,651.0
59,204.0
60,0.0
61,136.0
62,68.0
63,0.0
64,0.0
65,544.0
66,680.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,340.0
73,658.0
74,272.0
75,0.0
76,0.0
77,0.0
78,0.0
79,68.0
80,0.0
81,62.0
82,612.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,204.0
90,0.0
91,680.0
92,39.0
93,0.0
94,476.0
95,408.0
96,0.0
97,0.0
98,0.0
99,680.0
100,0.0
101,677.0
102,0.0
103,0.0
104,680.0
105,0.0
106,0.0
107,0.0
108,0.0
109,680.0
110,0.0
111,544.0
112,0.0
113,0.0
114,0.0
115,272.0
116,130.0
117,0.0
118,0.0
119,0.0
120,0.0
121,400.0
122,680.0
123,0.0
124,272.0
125,0.0
126,679.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,662.0
142,680.0
143,544.0
144,0.0
145,0.0
146,0.0
147,674.0
148,680.0
149,0.0
150,680.0
151,0.0
152,0.0
153,68.0
154,0.0
155,670.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,50.0
164,0.0
165,0.0
166,0.0
167,612.0
168,0.0
169,0.0
170,0.0
171,55.0
172,136.0
173,0.0
174,0.0
175,41.0
176,0.0
177,0.0
178,0.0
179,612.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,680.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,474.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,544.0
201,680.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,610.0
210,0.0
211,474.0
212,0.0
213,612.0
214,0.0
215,0.0
216,0.0
217,476.0
218,0.0
219,265.0
220,612.0
221,0.0
222,0.0
223,680.0
224,0.0
