,pax_number
0,0.0
1,0.0
2,450.0
3,0.0
4,450.0
5,450.0
6,0.0
7,0.0
8,31.0
9,90.0
10,446.0
11,433.0
12,450.0
13,450.0
14,45.0
15,0.0
16,0.0
17,450.0
18,0.0
19,405.0
20,45.0
21,45.0
22,0.0
23,90.0
24,405.0
25,90.0
26,450.0
27,270.0
28,450.0
29,45.0
30,450.0
31,0.0
32,0.0
33,315.0
34,405.0
35,28.0
36,396.0
37,450.0
38,450.0
39,450.0
40,450.0
41,0.0
42,0.0
43,0.0
44,0.0
45,45.0
46,0.0
47,0.0
48,0.0
49,450.0
50,450.0
51,345.0
52,446.0
53,0.0
54,0.0
55,28.0
56,450.0
57,0.0
58,450.0
59,450.0
60,42.0
61,446.0
62,270.0
63,0.0
64,0.0
65,450.0
66,450.0
67,0.0
68,0.0
69,0.0
70,0.0
71,135.0
72,442.0
73,450.0
74,405.0
75,0.0
76,0.0
77,0.0
78,180.0
79,0.0
80,0.0
81,0.0
82,450.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,309.0
89,405.0
90,0.0
91,450.0
92,35.0
93,35.0
94,450.0
95,450.0
96,0.0
97,0.0
98,0.0
99,450.0
100,0.0
101,449.0
102,0.0
103,0.0
104,443.0
105,0.0
106,0.0
107,0.0
108,0.0
109,405.0
110,45.0
111,450.0
112,0.0
113,0.0
114,0.0
115,180.0
116,360.0
117,0.0
118,0.0
119,0.0
120,0.0
121,180.0
122,450.0
123,450.0
124,450.0
125,0.0
126,450.0
127,32.0
128,0.0
129,450.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,450.0
141,450.0
142,450.0
143,450.0
144,0.0
145,0.0
146,0.0
147,450.0
148,450.0
149,90.0
150,450.0
151,0.0
152,360.0
153,0.0
154,180.0
155,405.0
156,450.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,432.0
168,0.0
169,0.0
170,0.0
171,450.0
172,441.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,405.0
179,441.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,405.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,450.0
195,270.0
196,0.0
197,0.0
198,0.0
199,0.0
200,450.0
201,434.0
202,0.0
203,0.0
204,0.0
205,45.0
206,0.0
207,0.0
208,0.0
209,225.0
210,0.0
211,450.0
212,126.0
213,450.0
214,268.0
215,0.0
216,0.0
217,176.0
218,0.0
219,390.0
220,428.0
221,0.0
222,0.0
223,450.0
224,0.0
