,pax_number
0,0.0
1,110.0
2,410.0
3,0.0
4,410.0
5,410.0
6,0.0
7,38.0
8,0.0
9,110.0
10,410.0
11,410.0
12,408.0
13,410.0
14,41.0
15,0.0
16,0.0
17,410.0
18,0.0
19,410.0
20,0.0
21,0.0
22,41.0
23,164.0
24,369.0
25,164.0
26,393.0
27,246.0
28,410.0
29,164.0
30,410.0
31,0.0
32,0.0
33,410.0
34,410.0
35,0.0
36,410.0
37,410.0
38,410.0
39,410.0
40,410.0
41,63.0
42,41.0
43,82.0
44,0.0
45,0.0
46,0.0
47,22.0
48,0.0
49,410.0
50,410.0
51,410.0
52,410.0
53,0.0
54,0.0
55,202.0
56,410.0
57,0.0
58,410.0
59,410.0
60,41.0
61,410.0
62,410.0
63,0.0
64,0.0
65,410.0
66,410.0
67,0.0
68,0.0
69,0.0
70,0.0
71,123.0
72,410.0
73,410.0
74,410.0
75,0.0
76,0.0
77,0.0
78,314.0
79,0.0
80,0.0
81,0.0
82,410.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,328.0
89,369.0
90,0.0
91,410.0
92,0.0
93,0.0
94,410.0
95,410.0
96,0.0
97,0.0
98,0.0
99,410.0
100,0.0
101,408.0
102,0.0
103,0.0
104,406.0
105,0.0
106,0.0
107,0.0
108,0.0
109,408.0
110,0.0
111,410.0
112,0.0
113,0.0
114,0.0
115,164.0
116,362.0
117,24.0
118,0.0
119,0.0
120,0.0
121,410.0
122,410.0
123,369.0
124,393.0
125,41.0
126,410.0
127,0.0
128,0.0
129,410.0
130,0.0
131,0.0
132,0.0
133,0.0
134,41.0
135,0.0
136,0.0
137,0.0
138,41.0
139,164.0
140,410.0
141,410.0
142,410.0
143,410.0
144,0.0
145,205.0
146,34.0
147,396.0
148,410.0
149,328.0
150,410.0
151,0.0
152,410.0
153,82.0
154,0.0
155,410.0
156,393.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,41.0
164,0.0
165,0.0
166,0.0
167,408.0
168,0.0
169,0.0
170,0.0
171,410.0
172,410.0
173,123.0
174,0.0
175,0.0
176,0.0
177,0.0
178,396.0
179,410.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,410.0
187,243.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,410.0
195,396.0
196,0.0
197,0.0
198,27.0
199,0.0
200,410.0
201,369.0
202,0.0
203,0.0
204,0.0
205,79.0
206,82.0
207,0.0
208,0.0
209,0.0
210,41.0
211,410.0
212,276.0
213,410.0
214,246.0
215,0.0
216,41.0
217,41.0
218,0.0
219,369.0
220,410.0
221,0.0
222,0.0
223,410.0
224,0.0
