,pax_number
0,0.0
1,36.0
2,440.0
3,0.0
4,440.0
5,440.0
6,0.0
7,0.0
8,0.0
9,44.0
10,433.00000000000006
11,440.0
12,430.0
13,424.0
14,0.0
15,0.0
16,0.0
17,440.0
18,0.0
19,440.0
20,0.0
21,0.0
22,88.0
23,163.0
24,308.0
25,132.0
26,432.0
27,220.0
28,440.0
29,0.0
30,440.0
31,0.0
32,0.0
33,440.0
34,440.0
35,0.0
36,440.0
37,440.0
38,440.0
39,440.0
40,440.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,440.0
50,345.0
51,440.0
52,440.0
53,0.0
54,0.0
55,0.0
56,440.0
57,0.0
58,440.0
59,440.0
60,0.0
61,431.0
62,264.0
63,0.0
64,0.0
65,396.0
66,440.0
67,0.0
68,0.0
69,125.0
70,0.0
71,0.0
72,440.0
73,440.0
74,440.0
75,0.0
76,0.0
77,0.0
78,347.0
79,0.0
80,0.0
81,0.0
82,440.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,308.0
89,396.0
90,0.0
91,440.0
92,0.0
93,0.0
94,440.0
95,440.0
96,0.0
97,0.0
98,0.0
99,440.0
100,0.0
101,440.0
102,0.0
103,0.0
104,396.0
105,0.0
106,0.0
107,0.0
108,0.0
109,423.0
110,0.0
111,420.0
112,0.0
113,0.0
114,0.0
115,264.0
116,393.0
117,0.0
118,0.0
119,0.0
120,0.0
121,352.0
122,440.0
123,440.0
124,396.0
125,0.0
126,440.0
127,0.0
128,0.0
129,440.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,44.0
138,44.0
139,0.0
140,396.0
141,440.0
142,440.0
143,440.0
144,0.0
145,0.0
146,0.0
147,435.0
148,440.0
149,176.0
150,440.0
151,0.0
152,440.0
153,132.0
154,0.0
155,440.0
156,432.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,440.0
168,0.0
169,0.0
170,0.0
171,440.0
172,440.0
173,0.0
174,0.0
175,81.0
176,0.0
177,44.0
178,429.0
179,440.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,440.0
187,129.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,352.0
195,293.0
196,0.0
197,0.0
198,0.0
199,0.0
200,440.0
201,396.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,132.0
210,0.0
211,396.0
212,347.0
213,440.0
214,308.0
215,0.0
216,0.0
217,88.0
218,0.0
219,393.0
220,435.0
221,0.0
222,0.0
223,440.0
224,0.0
