,index,aircraft_number,distances,doc,demand,active_arcs,distances01,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,0,0.0,354,2912,451.0,0,354,0.3878787878787878,41.0,693.1118173047274,183.91568270761837,8.227159939608354,1.9579429867365181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,242,2159,294.0,0,242,0.46929292929292926,41.0,565.8913410869401,154.9324536988884,8.924134038082492,2.3383939714336366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,198,1897,252.0,0,198,0.46303030303030296,41.0,497.89517515583924,145.6147925627008,9.584090024832701,2.514622096746663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,768,6017,313.0,0,768,0.3816161616161616,41.0,1384.7542057309656,289.2783271281056,7.8351047095352,1.803065372045528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,591,4600,298.0,0,591,0.3878787878787878,41.0,1070.7686261652486,241.8596550553599,7.7840974801783,1.8117912456264782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,517,4105,192.0,0,517,0.3816161616161616,41.0,981.0093206716584,223.6179928774649,7.94097758320647,1.8975035216086236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,587,4571,221.0,0,587,0.3878787878787878,41.0,1064.2501108737108,240.86384781381327,7.788127431880033,1.8130325568547032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.0,335,2797,324.0,0,335,0.3816161616161616,41.0,679.5667602339108,178.90755828706745,8.349491232552714,2.028557493235555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.0,154,1621,188.0,0,154,0.4567676767676767,41.0,432.11357038163686,136.40682789891696,10.528854405052192,2.8059322752054343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,660,4776,200.0,0,660,0.46303030303030296,41.0,1227.8860984652238,241.93658835609057,7.237842668562709,1.8604334825230664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,1105,8356,105.0,0,1105,0.3941414141414141,41.0,2011.001485581451,361.2859000058239,7.562208264441491,1.8199108466800462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.0,830,6369,152.0,0,830,0.3878787878787878,41.0,1517.596612269945,298.1860252016512,7.673823842295618,1.828429653337283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.0,1006,7668,256.0,0,1006,0.3878787878787878,41.0,1817.6437149376134,340.726801449704,7.623094715282938,1.8068028975522996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.0,855,6546,125.0,0,855,0.3878787878787878,41.0,1555.1624654854224,304.2810756896811,7.656925606204771,1.8189034684040029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.0,187,1825,342.0,0,354,0.3816161616161616,41.0,717.5580026294326,183.591480030651,8.311486181536706,2.027000007427776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.0,200,1902,469.0,0,187,0.4567676767676767,41.0,482.5054517229971,143.29604763430714,9.762691799481154,2.580243057342231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,673,4863,398.0,0,200,0.4567676767676767,41.0,501.2867509734222,146.04149973346907,9.513962307864926,2.506433754867111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,620,4516,215.0,0,673,0.4755555555555555,41.0,1311.2250111409776,241.12551271573506,7.2264828056241,1.9483283969405314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,780,6004,254.0,0,620,0.46303030303030296,41.0,1158.311789172145,233.5425852926987,7.284032437836869,1.868244821245395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,5.0,243,2139,505.0,1,780,0.3878787878787878,41.0,1433.4486470488455,286.15680141121965,7.697674493889264,1.837754675703648,1.939393939393939,7167.243235244227,0.6467328978020449,1215.0,205.0,10695.0,1430.7840070560983
20,20,0.0,688,5330,227.0,0,243,0.46303030303030296,41.0,554.7751301382826,154.742482236499,8.803473255082928,2.283025226906513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,426,3456,322.0,0,688,0.3878787878787878,41.0,1276.4613354178728,263.9178895551179,7.747101806552916,1.8553217084562104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,790,6077,244.0,0,426,0.3816161616161616,41.0,836.5576247805604,201.30811720480162,8.115015099952654,1.9637502929121138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,1374,10277,47.0,0,790,0.3878787878787878,41.0,1450.5677454313718,288.57302211697913,7.693297655293567,1.8361617030776858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,998,7612,222.0,0,1374,0.4004040404040404,41.0,2496.401398600087,420.96810822830935,7.480046845926573,1.8168860251820138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,0.0,1357,10248,279.0,0,998,0.3878787878787878,41.0,1805.2927664459528,338.84954652595013,7.6274972540399935,1.8089105876211953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,0.0,1180,8918,15.0,0,1357,0.3941414141414141,41.0,2466.8173896394733,421.1745392677697,7.55233318537588,1.8178462709207615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,0.0,215,1993,334.0,0,1180,0.3941414141414141,41.0,2146.363658497379,379.15568157428027,7.557707518186779,1.8189522529638806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,0.0,575,4484,300.0,0,242,0.37535353535353533,41.0,530.3999921171478,156.01931700162376,8.89875799158317,2.191735504616313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,0.0,464,3690,374.0,0,187,0.46303030303030296,41.0,480.8828035883912,143.3851184108701,9.784609131509741,2.5715657945903274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,0.0,594,4346,354.0,0,215,0.4567676767676767,41.0,521.7818142147495,149.0477917118642,9.270857789053304,2.4268921591383696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,0.0,424,3406,204.0,0,575,0.3878787878787878,41.0,1044.9486834522695,237.94452095857733,7.799682033064201,1.81730205817786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,0.0,559,4418,255.0,0,464,0.3878787878787878,41.0,867.1260801669165,210.67053156029047,7.954396370651683,1.8688062072562857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
