,index,aircraft_number,distances,doc,demand,active_arcs,distances01,mach,pax_num,fuel,time,DOC_nd,SAR,mach_tot_aircraft,total_fuel,total_CEMV,total_distance,total_pax,total_cost,total_time
0,0,0.0,354,2784,451.0,0,354,0.4755555555555555,40.0,737.8080261942421,177.29609956386798,7.866879357229357,2.0842034638255424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,242,2115,294.0,0,242,0.4755555555555555,40.0,557.1708258687963,154.61853984737786,8.740803820177785,2.302358784581803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,198,1857,252.0,0,198,0.4755555555555555,40.0,486.89331374729284,145.70063718347217,9.382652115865968,2.4590571401378427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,768,5356,313.0,0,768,0.46929292929292926,40.0,1390.367149784473,262.8053199186989,6.974246452488189,1.8103738929485325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,591,4253,298.0,0,591,0.46303030303030296,40.0,1087.413861019516,227.90437200379202,7.197357786628351,1.839955771606626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,517,3942,192.0,0,517,0.4004040404040404,40.0,933.7617433477069,221.532902537688,7.625333283325486,1.8061155577325085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,587,4516,221.0,0,587,0.3816161616161616,40.0,1057.9829880678906,241.4300988103637,7.694095940772376,1.8023560273728971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,5.0,335,2678,324.0,1,335,0.46929292929292926,40.0,706.3726119259956,173.768010221475,7.994183270080854,2.108574960973121,2.3464646464646464,3531.8630596299777,0.5609188695804137,1675.0,200.0,13390.0,868.8400511073751
8,8,0.0,154,1598,188.0,0,154,0.46303030303030296,40.0,428.51008549966855,136.20248023594203,10.381525053099805,2.7825330227251204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,660,5076,200.0,0,660,0.37535353535353533,40.0,1183.7878881373304,260.38891707556,7.691317251622704,1.7936180123292884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,1105,100000000000000000000000000000,105.0,0,1105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
11,11,0.0,830,6320,152.0,0,830,0.37535353535353533,40.0,1458.5616293320106,302.97103423326786,7.61541830515983,1.7573031678698923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.0,1006,7567,256.0,0,1006,0.3816161616161616,40.0,1758.3055282831958,343.82843654769056,7.5225912789462255,1.7478186165836938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.0,855,6457,125.0,0,855,0.3816161616161616,40.0,1506.8035480585236,306.68601217532006,7.552965765191554,1.7623433310626007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.0,187,1793,342.0,0,354,0.46929292929292926,40.0,733.7644562647035,177.67535165443675,7.885362010476087,2.0727809499002925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.0,200,1873,469.0,0,187,0.46303030303030296,40.0,479.2197346747062,143.19214634279743,9.590330739311497,2.5626723779396055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,673,5135,398.0,0,200,0.46303030303030296,40.0,496.9823970941509,145.69328734594674,9.367431601059014,2.484911985470754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,620,4788,215.0,0,673,0.3816161616161616,40.0,1194.0431884279246,262.7955906125421,7.630433436239941,1.774209789640304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,780,5956,254.0,0,620,0.37535353535353533,40.0,1121.2295121823204,250.47151207656083,7.723092239794905,1.8084346970682588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0.0,243,2143,505.0,0,780,0.37535353535353533,40.0,1378.7859899666892,290.4994572755728,7.635967200774066,1.76767434611114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0.0,688,5283,227.0,0,243,0.4755555555555555,40.0,559.7208699061808,154.06723444176603,8.822964581339322,2.3033780654575344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,426,3234,322.0,0,688,0.37535353535353533,40.0,1230.442938159027,267.4851498337091,7.678848253696266,1.7884345031381208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,790,6029,244.0,0,426,0.46929292929292926,40.0,849.9098845674994,192.5868238399127,7.591733158011175,1.9950936257453038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,1374,100000000000000000000000000000,47.0,0,790,0.37535353535353533,40.0,1395.016388642734,293.0117270706089,7.6321796726505795,1.7658435299275115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,998,7511,222.0,0,1374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
25,25,0.0,1357,100000000000000000000000000000,279.0,0,998,0.3816161616161616,40.0,1746.5954646114433,341.9160921525518,7.526860838244467,1.7500956559232899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,0.0,1180,100000000000000000000000000000,15.0,0,1357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
27,27,0.0,215,1958,334.0,0,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
28,28,0.0,575,4152,300.0,0,242,0.46929292929292926,40.0,563.4360454812014,154.65556883045127,8.76686344895873,2.328248121823146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,1.0,464,3464,374.0,1,187,0.4755555555555555,40.0,469.2241737195222,143.46633765390115,9.592184740290133,2.5092201803183003,0.4755555555555555,469.2241737195222,0.09427147866988499,464.0,40.0,3464.0,143.46633765390115
30,30,0.0,594,4594,354.0,0,215,0.46303030303030296,40.0,517.9077398355465,148.7999920222283,9.109927417610722,2.408873208537426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,0.0,424,3216,204.0,0,575,0.46303030303030296,40.0,1060.9028722371525,224.44686993944728,7.2213905752963585,1.8450484734559174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,0.0,559,4341,255.0,0,464,0.46303030303030296,40.0,894.0794282827457,201.32739395313953,7.466508922491422,1.9268953195748828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,0.0,257,2207,192.0,0,594,0.37535353535353533,40.0,1076.2527791115672,243.88772168518017,7.734685500576659,1.8118733655076888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,0.0,831,6327,180.0,0,424,0.46303030303030296,40.0,825.9792433830457,192.35780545510335,7.586796921314813,1.9480642532619004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,10.0,1340,0,0.0,1,559,0.37535353535353533,40.0,1020.5279500368563,235.18063571867023,7.765776815594483,1.8256313954147698,3.7535353535353533,10205.279500368562,1.2957045836362804,13400.0,400.0,0.0,2351.8063571867024
36,36,0.0,1023,7692,134.0,0,257,0.46929292929292926,40.0,583.5652960140187,157.70057394393865,8.587897838189104,2.2706820856576604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
